-180.0	0.0000	0.0250
-175.0	0.6600	0.0550
-170.0	0.8500	0.1400
-165.0	0.6800	0.2300
-160.0	0.6350	0.3200
-155.0	0.6700	0.4200
-150.0	0.7700	0.5750
-145.0	0.9000	0.7550
-140.0	0.9800	0.9250
-135.0	0.9300	1.0850
-130.0	0.8500	1.2250
-125.0	0.7600	1.3500
-120.0	0.6700	1.4650
-115.0	0.5750	1.5550
-110.0	0.4500	1.6350
-105.0	0.3200	1.7000
-100.0	0.1850	1.7500
-95.0	0.0500	1.7800
-90.0	-0.0900	1.8000
-85.0	-0.2300	1.8000
-80.0	-0.3650	1.7800
-75.0	-0.5000	1.7350
-70.0	-0.6300	1.6650
-65.0	-0.7600	1.5750
-60.0	-0.8750	1.4700
-55.0	-0.9550	1.3450
-50.0	-1.0200	1.2150
-45.0	-1.0500	1.0750
-40.0	-1.0350	0.9200
-35.0	-0.9800	0.7450
-30.0	-0.8550	0.5700
-25.0	-1.0350	0.4050
-22.0	-0.9940	0.3290
-20.0	-0.9858	0.2820
-18.0	-0.9911	0.2380
-16.0	-1.0056	0.0293
-15.0	-1.0105	0.0269
-14.0	-1.0122	0.0244
-13.0	-1.0020	0.0223
-12.0	-0.9843	0.0202
-11.0	-0.9543	0.0184
-10.0	-0.9091	0.0166
-9.0	-0.8498	0.0152
-8.0	-0.7802	0.0138
-7.0	-0.6988	0.0126
-6.0	-0.6100	0.0117
-5.0	-0.5146	0.0109
-4.0	-0.4128	0.0103
-3.0	-0.3300	0.0098
-2.0	-0.2200	0.0096
-1.0	-0.1100	0.0094
0.0	0.0000	0.0094
1.0	0.1100	0.0094
2.0	0.2200	0.0096
3.0	0.3300	0.0098
4.0	0.4128	0.0103
5.0	0.5146	0.0109
6.0	0.6100	0.0117
7.0	0.6988	0.0126
8.0	0.7802	0.0138
9.0	0.8498	0.0152
10.0	0.9091	0.0166
11.0	0.9543	0.0184
12.0	0.9843	0.0202
13.0	1.0020	0.0223
14.0	1.0122	0.0244
15.0	1.0105	0.0269
16.0	1.0056	0.0293
18.0	0.9911	0.2380
20.0	0.9858	0.2820
22.0	0.9940	0.3290
25.0	1.0350	0.4050
30.0	0.8550	0.5700
35.0	0.9800	0.7450
40.0	1.0350	0.9200
45.0	1.0500	1.0750
50.0	1.0200	1.2150
55.0	0.9550	1.3450
60.0	0.8750	1.4700
65.0	0.7600	1.5750
70.0	0.6300	1.6650
75.0	0.5000	1.7350
80.0	0.3650	1.7800
85.0	0.2300	1.8000
90.0	0.0900	1.8000
95.0	-0.0500	1.7800
100.0	-0.1850	1.7500
105.0	-0.3200	1.7000
110.0	-0.4500	1.6350
115.0	-0.5750	1.5550
120.0	-0.6700	1.4650
125.0	-0.7600	1.3500
130.0	-0.8500	1.2250
135.0	-0.9300	1.0850
140.0	-0.9800	0.9250
145.0	-0.9000	0.7550
150.0	-0.7700	0.5750
155.0	-0.6700	0.4200
160.0	-0.6350	0.3200
165.0	-0.6800	0.2300
170.0	-0.8500	0.1400
175.0	-0.6600	0.0550
180.0	0.0000	0.0250
